RefID,Author(s),Experiment Number,CONTROL,Pollutant,Response type,Exposure Level/ Description,Exposure Frequency,Exposure Duration/ Timepoint,Species,Coral age class,Community study?,Current genus name,Current species name,Colony form,Other forms/morphologies,Coral surface direction,Ocean,Ecoregion number,Study location,Study site,Study type,Flow characteristics,Light characteristics,Other sample characteristics,Pollutant Class,Pollutant,Stressor description,Application level (amount),Application level (amount) UoM,level converted to ug/L,Application level (amount) average type,N for computing average,N UoM,lower error estimate,upper error estimate,level error type,exposure duration in days,recovery duration in days,frequency,notes,RESPONSE: Abnormal larval development,RESPONSE: bleaching,RESPONSE: carotenoid concentration,RESPONSE: chl-a concentration,RESPONSE: chl-c concentration,RESPONSE: colony mortality,RESPONSE: ETR max,RESPONSE: fertilization success,RESPONSE: gross photosynthetic rate,RESPONSE: growth rate,RESPONSE: larval mortality,RESPONSE: larval settlement,RESPONSE: larval swimming activity,RESPONSE: larval swimming distance,RESPONSE: larval swimming recovery,RESPONSE: effective quantum yield - delta F/Fm',RESPONSE: maximum quantum yield - Fv/Fm,RESPONSE: P/R ratio,RESPONSE: primary production,RESPONSE: protein concentration,RESPONSE: recruit survival,RESPONSE: respiration,RESPONSE: symbiont density,Expected response direction,Response type,Standardized response level,Standardized SE,Standardized SD,Standardized unit of measurement,Response level,Unit of measurement,Average type,N for computing average,N Unit of measurement,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate (= response level - lower error bound),Upper error estimate (= upper error bound - response level),Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,BINARY: reduced chl,BINARY: Hydrostatic inflation,BINARY: Tentacular activity,BINARY: Increased mucus,BINARY: Congealed sediment,BINARY: Shift from auto to heterotrophy,BINARY: Reduced P/R,BINARY: Reduced photosynthetic efficiency,BINARY: Reduced growth rate,BINARY: Reduced fertilization success,BINARY: Reduced larval survival (pre-settlement),BINARY: Limited settlement,BINARY: Reduced recruit survival (post-settlement),BINARY: Reduced larval swimming activity,BINARY: Local bleaching,BINARY: Algal overgrowth,BINARY: Smothering,BINARY: Small necroses,BINARY: Large necroses,BINARY: Death of colonies,BINARY: decreased symbiont density,Non-adverse effect reported?,Adverse effect reported?,Mortality reported?,Effect of sediment on coral?,Non-adverse effect of sediment?,Adverse effect of sediment?,Sediment-induced mortality?,Data extractor initials,Date of completion,Additional notes on study
"2,4-D-02",Sabdono et al. 1998,1,0,"2,4-D",binary only,1,constant,48 hours,Porites,adult,0,Porites,NR,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,Pesticide,"2,4-D","2,4-D",1,ppm,1000,n/r,n/r,n/r,n/r,n/r,n/r,2,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,0,,1,1,1,1,1,0,0,ALB,44049,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well"
"2,4-D-02",Sabdono et al. 1998,1,0,"2,4-D",binary only,10,constant,48 hours,Porites,adult,0,Porites,NR,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,Pesticide,"2,4-D","2,4-D",10,ppm,10000,n/r,n/r,n/r,n/r,n/r,n/r,2,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,0,,1,1,1,1,1,0,0,ALB,44049,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well"
"2,4-D-02",Sabdono et al. 1998,1,0,"2,4-D",binary only,100,constant,48 hours,Porites,adult,0,Porites,NR,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,Pesticide,"2,4-D","2,4-D",100,ppm,100000,n/r,n/r,n/r,n/r,n/r,n/r,2,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,0,,1,1,1,1,1,1,1,ALB,44049,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well"
"2,4-D-02",Sabdono et al. 1998,1,0,"2,4-D",binary only,1000,constant,48 hours,Porites,adult,0,Porites,NR,encrusting,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,NR,Pesticide,"2,4-D","2,4-D",1000,ppm,1000000,n/r,n/r,n/r,n/r,n/r,n/r,2,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,1,ALB,44049,"the only data from the first experiment was a table describing the visual health of coral, second experiment has survival and zooxanthellae data. they calcuated LC50 so that data is available as well"
"2,4-D-02",Sabdono et al. 1998,2,1,"2,4-D",colony survival,0,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",0,ppm,0,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,13.89,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",13.89,ppm,13890,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,19.3,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",19.3,ppm,19300,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,26.83,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",26.83,ppm,26830,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,37.27,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",37.27,ppm,37270,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,51.79,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",51.79,ppm,51790,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,71.97,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",71.97,ppm,71970,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,2,0,"2,4-D",colony survival,100,constant,0.25 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",100,ppm,100000,n/r,n/r,n/r,n/r,n/r,n/r,1.04E-02,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.25,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,1,"2,4-D",colony survival,0,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",0,ppm,0,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,13.89,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",13.89,ppm,13890,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,19.3,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",19.3,ppm,19300,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,26.83,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",26.83,ppm,26830,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,37.27,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",37.27,ppm,37270,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,51.79,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",51.79,ppm,51790,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,71.97,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",71.97,ppm,71970,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,3,0,"2,4-D",colony survival,100,constant,0.5 hours,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",100,ppm,100000,n/r,n/r,n/r,n/r,n/r,n/r,2.08E-02,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,0.5,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,4,1,"2,4-D",colony survival,0,constant,1 hour,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",0,ppm,0,n/r,n/r,n/r,n/r,n/r,n/r,4.17E-02,0,constant,,,,,,,,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,4,0,"2,4-D",colony survival,13.89,constant,1 hour,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",13.89,ppm,13890,n/r,n/r,n/r,n/r,n/r,n/r,4.17E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,4,0,"2,4-D",colony survival,19.3,constant,1 hour,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",19.3,ppm,19300,n/r,n/r,n/r,n/r,n/r,n/r,4.17E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"2,4-D-02",Sabdono et al. 1998,4,0,"2,4-D",colony survival,26.83,constant,1 hour,Galaxea,adult,0,Galaxea,NR,n/r,NR,vertical,Indo-Pacific (e.g. Singapore),31,Java sea,laboratory,manipulative,none-aerated,NR,,Pesticide,"2,4-D","2,4-D",26.83,ppm,26830,n/r,n/r,n/r,n/r,n/r,n/r,4.17E-02,0,constant,,,,,,,1,,,,,,,,,,,,,,,,,,decrease,colony survival,100,,n/r,% colonies survived,0,% of colonies that died,mean,10,nubbins (2 replicates of 5 each),n/r,n/r,n/r,n/r,n/r,1,hours,n/r,n/r,Table 3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
